&;dan
rusun;rumah susun
rusunawa;rumah susun sewa
rutan;rumah tahanan
ruz;terus
s'lalu;selalu
s*inetr*n;sinetron
s3ndiri;sendiri
s4;sempat
s;si
s;sih
saat2;saat-saat
saayyyyy;say
sabaarrr;sabar
sabal;sabar
sabaro;sabar
sabarrr;sabar
sabarrrrr;sabar
sabeb;bebas
sadaar;sadar
sadis2;sadis-sadis
sahabatt;sahabat
saia;saya
saiank;sayang
salaam;salam
salahin;salahkan
salammmm;salam
salehah;salihah
salfok;salah fokus
salluutt;salut
salting;salah tingkah
saltum;salah kostum
saltummmm;salah kostum
sam;sama
sama";sama-sama
sama2;sama-sama
samaa;sama
samaaaa;sama
samara;sakinah mawadah rahman
samoga;semoga
sampai2;sampai-sampai
sampe;sampai
sampein;sampaikan
sampek;sampai
sampeyan;anda
sampis;sampah habis
sampw;sampai
samsek;sama sekali
sangaaattt;sangat
sangat2;sangat-sangat
sangattt;sangat
sanggat;sangat
sangt;sangat
santab;santap
sapa2;sapa-sapa
sapa;siapa
sapose;siapa
saranin;menyarankan
saranin;sarankan
sasama;sesama
satkorlak;satuan koordinator pelaksana
satpam;satuan pengamanan
satupunn;satupun
satuu;satu
satuuuuu;satu
saudra;saudara
say;sayang
saya2;saya-saya
sayaa;saya
sayaang;sayang
sayan;sayang
sayangg'';sayang-sayang
sayanggg;sayang
sayangggq;sayangku
sayangkuh;sayangku
sayangkuuuuu;sayangku
sayangx;sayangnya
sayy;sayang
sayyy;say
sbagai;sebagai
sbaiknya;sebaiknya
sbb;sebab
sbb;sebagai berikut
sbbrnya;sebenarnya
sbbyak;sebanyak
sbelah;sebelah
sbelum;sebelum
sbenernya;sebenarnya
sbg;sebagai
sbgai;sebagai
sbh;sebuah
sbhabat;sahabat
sblah;sebelah
sblh;sebelah
sblm;sebelum
sblmny;sebelumnya
sblmnya;sebelumnya
sblum;sebelum
sbnarnya;sebenarnya
sbnrny;sebenarnya
sbnyak;sebanyak
sbr;sabar
sbuah;sebuah
sby;surabaya
scara;secara
schedule;jadwal
scpatny;secepatnya
scr;secara
scra;secara
sdah;sudah
sdg;sedang
sdgkn;sedangkan
sdh;sudah
sdkit2;sedikit-sedikit
sdkit;sedikit
sdkt;sedikit
sdngkn;sedangkan
sdri;sendiri
se7;setuju
seabrek;banyak
seandainy;seandainya
sebaik";sebaik-baik
sebelas dua belas;mirip
sebelom;sebelum
sebelum2nya;sebelum-sebelumnya
sebelumbya;sebelumnya
sebenernya;sebenarnya
sebnyak;sebanyak
seburuk";seburuk-buruk
seburuk2;seburuk-buruk
sedangkn;sedangkan
sedihh;sedih
sedihhh;sedih
sedikitlaahh;sedikitlah
see;sih
seeeemua;semua
seeh;sih
seehh;sih
segala"ny;segala-galanya
segala2nya;segala-galanya
seger;segar
segerr;segar
segerrrr;segar
segitunya;sebegitunya
segtu;sebegitu
seh;sih
seharusny;seharusnya
sehat2;sehat-sehat
sehh;sih
seindonesiyah;seindonesia
sekaeang;sekarang
sekali2;sekali-kali
sekalii;sekali
sekaliiii;sekali
sekaliiiii;sekali
sekangen2;sekangen-kangen
sekarng;sekarang
sekjen;sekretaris jenderal
seklian;sekalian
sekolahin;sekolahkan
sekrang;sekarang
sekrng;sekarang
seksii;seksi
selaloe;selalu
selaluu;selalu
sellow;selow
selmat;selamat
selmnya;selamanya
selmt;selamat
selow;santai
seluru;seluruh
semangaatt;semangat
semangaatttt;semangat
semangatt;semangat
semangattt;semangat
semau;asal
sembako;sembilan bahan pokok
sembuhin;menyembuhkan
sembunyi"";sembunyi-sembunyi
semngat;semangat
semogaa;semoga
sempak;celana dalam
sempet2nya;sempat-sempatnya
sempet;sempat
sempurnaa;sempurna
sempurnaaaaa;sempurna
semuaaa;semua
semuannyaaa;semuanya
semuanyaa;semuanya
semuanyaaaa;semuanya
senang2;senang-senang
senangat;semangat
sendeng;senang
sendirii;sendiri
sendirinnya;sendirinya
sendirinyya;sendirinya
sendirir;sendiri
sendratari;seni drama tari
sendri;sendiri
seneeeeeng;senang
seneng;senang
senengg;senang
senenggg;senang
senengin;senangi
senyumin;senyumi
senyumna;senyumnya
seorg;seorang
sept;september
serasiii;serasi
serem";seram-seram
serem2;seram-seram
serem;seram
sering2;sering-sering
sertijab;serah terima jabatan
seru2;seru-seru
seru2an;seru-seruan
seruu;seru
seruuu;seru
sesatt;sesat
sesekk;sesak
setabil;stabil
setelur2nya;setelur-telurnya
seterong;setrong
seting;akting
setju;setuju
setting;atur
setujuuu;setuju
setujuuuu;setuju
sewain;menyewa
sexi2;seksi-seksi
sexi;seksi
sexxi;seksi
sey;sih
sgampang;segampang
sgla;segala
sgt;sangat
sgtu'y;sebegitunya
sgtu;sebegitu
sgtu;segitu
sgtuny;segitunya
sgtunya;segitunya
sh;masih
shaaaay;say
shaay;say
shabat;sahabat
sharusnya;seharusnya
shat;sehat
shay;say
shayy;say
shayyy;say
shbat;sahabat
shbt;sahabat
shg;sehingga
sholihah;salihah
si;sih
sia2kan;sia-siakan
siaap;siap
siapa2;siapa-siapa
siapaa;siapa
siapayahh;siapa ya
siappa;siapa
sibukx;sibuknya
sich;sih
sichh;sih
sichhhhhhhhhh;sih
sidak;inspeksi mendadak
sie;sih
siech;sih
sieyh;sih
sihat;sehat
sihh;sih
sihhh;sih
sihhhh;sih
sii;sih
siih;sih
siihh;sih
siihhh;sih
siiih;sih
siiihh;sih
siiihhh;sih
siiiiiiippppppppp;sip
siip;sip
siipp;sip
siippp;sip
sikap";sikap-sikap
sikon;situasi dan kondisi
silahkan;silakan
silahkn;silakan
silauuu;silau
silsturahmi;silaturahmi
simiskin;miskin
simpedes;simpanan pedesaan
simpen;simpan
sinet;sinetron
sinetron;sinema elektronik
sintron;sinetron
sip;ok
sipiit;sipit
sipp;sip
siramin;siramkan
siriik;sirik
sirikk;sirik
sis;kakak perempuan
sisain;menyisakan
sista2;sista-sista
sitayngin;ditayangkan
sj;saja
sja;saja
sjjurny;sejujurnya
sjk;sejak
sk;suka
ska;suka
skali2;sekali-kali
skali;sekali
skalian;sekalian
skaligus;sekaligus
skalii;sekali
skarang;sekarang
skedar;sekadar
skg;sekarang
skit;sakit
skitar;sekitar
skl;sekali
sklh;sekolah
skli;sekali
sklinyaa;sekalinya
skluarga;sekeluarga
skolah;sekolah
skr;sekarang
skrang;sekarang
skrg;sekarang
skrng;sekarang
skrngnya;sekarangnya
skrnh;sekarang
skt;sakit
sktika;seketika
sktlrang;sekarang
skul;sekolah
slah;salah
slahkan;salahkan
slalu;selalu
slaluuuuu;selalu
slam;salam
slama;selama
slamat;selamat
slamet;selamat
slamt;selamat
slang;formal
slesai;selesai
slh;salah
slhkan;salahkan
sling;saling
sll;selalu
sllu;selalu
slm;salam
slma;selama
slmat;selamat
slmnya;salamnya
slmt;selamat
slmttt;selamat
slsai;selesai
slt;sulit
slw;selow
sm2;sama-sama
sm;sama
sma2;sama-sama
sma;sama
smakin;semakin
smangat;semangat
smbil;sambil
smentara;sementara
smg;semoga
smga;semoga
smgaa;semoga
smkin;semakin
smnagatin;menyemangati
smngat;semangat
smnjak;semenjak
smog;semoga
smoga;semoga
smogaaa;semoga
smp;sampai
smpai;sampai
smpe;sampai
smpt;sempat
smrg;semarang
smster;semester
smua;semua
smuaaa;semua
smulla;semula
smvk;sempak
smw;semua
smwny;semuanya
smwnya;semuanya
sna;sana
sndiri;sendiri
sndr;sendiri
sndri;sendiri
sneng;senang
sng;senang
sngaja;sengaja
sngt;sangat
sni;sini
so;sok
soal'y;soalnya
soalx;soalnya
soft;halus
soga;moga
sohib;teman
sok2;sok-sok
sok2an;sok-sokan
sokk;sok
soljum;sholat jumat
solve;solusi
somse;sombong sekali
songong;sombong
sorry;maaf
sory;maaf
sosbud;sosial-budaya
sosek;sosial-ekonomi
sospol;sosial-politik
sotoy;sok tahu
sotoy;sok tau
sowry;maaf
sp;sapa
sp;siapa
spa;siapa
spd;sepeda
sperti;seperti
spertinya;sepertinya
sppa;siapa
sprt;seperti
sprti;seperti
spt;seperti
spti;seperti
spy;supaya
srng;sering
srpti;seperti
srruu;seru
srta;serta
srtfkt;sertifikat
ssorg;seseorang
sstu;sesuatu
staf2nya;staf-stafnya
stagahhhh;astaga
stage;panggung
statusx;statusnya
steess;stres
stelah;setelah
stiap;setiap
stidaknya;setidaknya
still;masih
stimpal;setimpal
stj;setuju
stju;setuju
stlh;setelah
stop;henti
stp;setiap
stress;stres
sttus;status
stu;satu
stuju;setuju
suami'y;suaminya
suamiii;suami
suamiiiii;suami
suaminga;suaminya
suaminy;suaminya
suaranyaa;suaranya
suaranyaaaaaa;suaranya
suaraynyaa;suaranya
suarranya;suaranya
subahanallah;subhanallah
subbag;subbagian
subhanaallahh;subhanallah
subhanallahhh;subhanallah
subhanalloh;subhanallah
subhannallah;subhanallah
subhnallah;subhanallah
suces;sukses
sucses;sukses
sud;sudah
suda;sudah
sudab;sudah
sudh;sudah
suerrr;suer
suipit;sipit
suk;masuk
suk;suka
suka.a;sukanya
suka2;suka-suka
sukaa;suka
sukaaa;suka
sukaaaa;suka
sukaaaaaa;suka
sukaaak;suka
sukak;suka
sukakkk;suka
sukam;suka
sukkaa;suka
suko;suka
sukse;sukses
suksea;sukses
suksess;sukses
sukur2;sukur-sukur
sumai;suami
sumbangin;sumbangkan
sumpahh;sumpah
sumpeh;sumpah
sumpek;sempit
sumvahh;sumpah
sunah2;sunah-sunah
sunggu;sungguh
sungguh2;sungguh-sungguh
supeer;super
surgaa;surga
suru;suruh
sweger;segar
swmntara;sementara
sy;saya
sya;saya
syang;sayang
syantiek;cantik
syantiiiiikkkkkkkkkkkk;cantik
syantik;cantik
syediih;sedih
syediiihhh;sedih
syekaliii;sekali
syg;sayang
sygkuu;sayangku
syirik";syirik-syirik
syng;sayang
syngnya;sayangnya
synk;sayang
syp;siapa
sypa;siapa
syratnya;syaratnya
syukaaakkk;suka
t4;tempat
tabanas;tabungan pembangunan nasional
taek;tahi
taekk;tahi
tah;teh
tahannn;tahan
tahi;kotoran
tahun";tahun-tahun
tahun2;tahun-tahun
tai;kotoran
tai;tahi
taiiii;tahi
taik;kotoran
taik;tahi
tajir;kaya
tak;tidak
takuttt;takut
takuuuuut;takut
tambahh;tambah
tambahim;tambahkan
tambahin;tambahkan
tambh;tambah
tampialannya;tampilannya
tamvann;tampan
tanda2nya;tanda-tandanya
tanggung2;tanggung-tanggung
tangkep;tangkap
tante";tante-tante
tante2;tante-tante
tantee;tante
tanteny;tantenya
tanya2;tanya-tanya
tanyain;tanyakan
tanyang;tayang
taon;tahun
tap8;tapi
tapii;tapi
tapo;tapi
tappi;tapi
tar;entar
tar;nanti
tau2;tau-tau
tau;tahu
tauk;tahu
taun;tahun
tauu;tau
tauuu;tau
tauuuu;tau
tauuuuu;tau
taux;taunya
taw;tahu
taw;tau
tawh;tahu
tay;tahi
tayik;tahi
taz;atas
tbuh;tubuh
td;tadi
tdak;tidak
tdi;tadi
tdk;tidak
tdnya;tadinya
tdr;tidur
tdung;tudung
tdur;tidur
te2p;tetap
tebel;tebal
tebir";ribet-ribet
tebir;ribet
tegaar;tegar
teguran2;teguran-teguran
teh;kakak perempuan
tehh;teh
tehhh;teh
tehhhh;teh
tekor;rugi
telaatt;telat
telat;terlambat
telefisi;televisi
telimakacih;terima kasih
telkom;telekomunikasi
telmi;telat berpikir
telp;telepon
teman"ny;teman-temannya
teman2;teman-teman
tembemmm;tembem
tembokk;tembok
temen";teman-teman
temen-temen;teman-teman
temen2;teman-teman
temen;teman
temenan;berteman
temenkuuh;temanku
temenn;teman
temennya;temannya
tempat2;tempat-tempat
tempt;tempat
tengah2;tengah-tengah
tengaj;tengah
tenggah;tengah
tengil;menyebalkan
tengok;menjenguk
tengsin;malu
tenny;tenang
tentanh;tentang
tepar;terkapar
terangkhn;terangkan
terbaeeeek;terbaik
terbaeq;terbaik
terbaiiikkkkk;terbaik
terbaikkk;terbaik
terbitin;terbitkan
terburu2;terburu-buru
terhaaru;terharu
terharuuu;terharu
terharuuuu;terharu
terimaksih;terima kasih
teringt;teringat
terjrumus;terjerumus
terkenall;terkenal
termiribkan;termiripkan
termuraaahhhh;termurah
termurahhh;termurah
termurahhhh;termurah
ternodain;ternodai
ternyataa;ternyata
terong2an;terong-terongan
terossss;terus
terrrrbaik;terbaik
teru;terus
terus"an;terus-terusan
terus2an;terus-terusan
teruss;terus
terusss;terus
teruuss;terus
teruz;terus
teruzzz;terus
testi;testimoni
testinya;testimoninya
tetaplaah;tetaplah
tetapppp;tetap
tetehh;teteh
tetep;tetap
tetp;tetap
teyuss;terus
tggu;tunggu
tgk;tengok
tgl;tanggal
tgu;tunggu
th2;tahun-tahun
th;tahu
th;tahun
th;teh
than;tahan
thanks;terima kasih
thankz;terima kasih
thd;terhadap
thdp;terhadap
therchakitty;tersakiti
thn;tahun
thnan;tahunan
thu;itu
thu;tuh
thun;tahun
thx;terima kasih
tiba2;tiba-tiba
tidakkkk;tidak
tiga2nya;tiga-tiganya
tik;cantik
tikung2;tikung-tikung
tilang;bukti pelanggaran
tilep;tilap
tingal;tinggal
tinggalin;tinggalkan
tinggalkn;tinggalkan
tinggall;tinggal
tinggl;tinggal
tioghoa;tionghoa
tipe2;tipe-tipe
tipi;TV
tipiwan;TvOne
tips2;tips-tips
tipu2nya;tipu-tipunya
tirani;tiran
tium;cium
tk;tak
tkg;tukang
tks;terima kasih
tkt;takut
tkut;takut
tl;tolong
tlg;tolong
tll;terlalu
tlog;tolong
tlp;telepon
tlpn;telepon
tls;tulis
tlsn;tulisan
tlvn;telepon
tman;teman
tmbah;tambah
tmbh;tambah
tmbm;tembam
tmen2;teman-teman
tmen;teman
tmn2;teman-teman
tmn2nya;teman-temannya
tmn;teman
tmpah;tumpah
tmph;tumpah
tmpt;tempat
tnang;tenang
tnda;tanda
tnggl;tanggal
tnggu;tunggu
tngh;tengah
tngu;tunggu
tnh;tanah
tnp;tanpa
tnpa;tanpa
tntg;tentang
tntram;tentram
tnya;tanya
tnyta;ternyata
to;tapi
togel;toto gelap
tohh;toh
tokai;tai
tokayyy;tahi
toketnya;teteknya
tolernsi;toleransi
toloollll;tolol
tongolin;menongol
toserba;toko serba ada
tot;entot
toys;main
tp;tapi
tpi;tapi
tpii;tapi
tpy;tapi
tq;terima kasih
trasa;terasa
trbaik;terbaik
trbaikk;terbaik
trbukti;terbukti
trdhulu;terdahulu
tren;trend
trending;trend
trganggu;terganggu
trgntg;tergantung
trhtung;terhitung
trima;terima
trima;terima kasih
trims;terima kasih
trimz;terima kasih
trjadi;terjadi
trjd;terjadi
trknal;terkenal
trkrim;terkirim
trlalu;terlalu
trlihat;terlihat
trll;terlalu
trm;terima
trmanis;termanis
trmasuk;termasuk
trmsuk;termasuk
trnyata;ternyata
trnyt;ternyata
troma;trauma
trpsah;terpisah
trrharu;terharu
trs;terus
trsa;terasa
trserah;terserah
trserh;terserah
trsrh;terserah
trun;turun
trus;terus
trusan.a;terusannya
trusss;terus
trussss;terus
trutama;terutama
trz;terus
ts;penulis
tsangka;tersangka
tsb;tersebut
tsk;tersangka
tst;tahu sama tahu
ttap;tetap
ttd;tertanda
tteh;teteh
ttep;tetap
ttg;tentang
tth;teteh
ttinggi;tinggi
ttp;tetap
tu;itu
tua2;tua-tua
tuany;tuanya
tuch;tuh
tuh;itu
tuhanny;tuhannya
tuhh;tuh
tuhhh;tuh
tuir;tua
tuk;untuk
tukan;tukang
tullus;tulus
tumpe2;tumpah-tumpah
tunggu2;tunggu-tunggu
tunjukan;tunjukkan
tunjukin;tunjukkan
tutorialx;tutorialnya
tutupin;menutupi
tuu;tuh
tuuh;tuh
tuuu;itu
tuuuuh;tuh
tuwanya;tuanya
tuwek;tua
tuwh;tuh
tw;tahu
tw;tau
tx;tak
tyap;tiap
typo;salah tulis
u/;untuk
u;kamu
u;lu
u;untuk
u;you
uaaasssiiiik;asik
uasai;kuasa
ubur2;ubur-ubur
ucapin;mengucapkan
ucul;lucu
ucull;lucu
ucullllll;lucu
ud;sudah
uda;sudah
udah2;sudah-sudah
udah;sudah
udahh;sudah
udahlah;sudahlah
udeh;sudah
udehh;sudah
udh;sudah
uga;juga
ugaaa;juga
ugha;juga
ughaa;juga
uhh;uh
uhhh;uh
uih;uh
uitnya;duitnya
ujg;ujung
ujung2;ujung-ujung
ujung2nya;ujung-ujungnya
ujunggg;ujung
ul;ulangan
ulan;ulang
ultah;ulang tahun
ultahe;ultahnya
ultha;ultah
undangan2;undangan-undangan
ungkapin;ungkapkan
ungkit2;ungkit-ungkit
univ;universitas
unt;untuk
untk;untuk
unyu2;unyu-unyu
unyu;lucu
unyu;menggemaskan
unyuu;unyu
unyuuk;unyu
uplot;unggah
uppu;apa
urang;saya
urat2nya;urat-uratnya
urg;saya
ursan;urusan
urusanny;urusannya
urusin;mengurusi
urusin;urus
urusn;urusan
usa;usah
usah;perlu
usahh;usah
ush;usah
ustzah;ustazah
utang;hutang
utip;kutip
utk;untuk
utkmu;untukmu
utul;ujian tertulis
uuh;uh
uuhh;uh
uuhhh;uh
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk;apik
uwahhhhh;wah
uwakk;uwak
uwee;gue
uztad;ustad
valas;valuta asing
valid;sah
victory;menang
vksin;vaksin
vol;volume
vote;pilih
w/;dengan
w;gue
waaa;wah
waaaaw;wow
waaahhh;wah
waaaww;wow
waaawwww;wow
waah;wah
wad;buat
wadaaw;waduh
wadir;wakil direktur
wado;waduh
waduhh;waduh
waduhhh;waduh
waduuuuh;waduh
wagub;wakil gubernur
wahh;wah
wahhh;wah
wahhhhhh;wah
wajarrr;wajar
wajiiib;wajib
waktunyaaa;waktunya
walik;balik
wamil;wajib militer
wanitah;wanita
wanjerrr;anjir
wanjiir;anjir
waoohhh;wah
war;perang
warbiyasah;luar biasa
waria;wanita pria
warkop;warung kopi
warnaaa;warna
warnany;warnanya
warnet;warung internet
warteg;warung tegal
wartel;warung telekomunikasi
waspadalah;waspada
wat;buat
watuk;batuk
waw;wow
waww;wow
wawwwww;wow
wdooohhh;waduh
weeeh;wih
week;wig
wenak;enak
wenakk;enak
wewww;wow
widihh;idih
widihh;waduh
wihh;wih
wihhh;wih
wihhhhhh;wih
wiih;wih
wiiiihhhh;wih
wiiiihhhhhhhhh;wih
wik;wig
with;dengan
wjh;wajah
wk;tertawa
wk;waktu
wkt;waktu
wktu;waktu
wktunya;waktunya
wkwk;tertawa
wkwkkw;tertawa
wlau;walau
wlaupun;walaupun
wlawpun;walaupun
wlo;walau
wlwpun;walaupun
woey;woy
woles;santai
woles;selow
wong2;wong-wong
woooiiiii;woy
woooiiiiiiii;woy
wooow;wow
wooowww;wow
woooyy;woy
woow;wow
woowwww;wow
wota2;wota-wota
wouww;wow
wowoooww;wow
woww;wow
wowww;wow
wowwww;wow
wowwwww;wow
woyyy;woy
wrn;warna
wtf;apa-apaan
wtf;what the fuck
wth;what the hell
wuastagah;astaga
x;kali
xixixi;tertawa
xlian;kalian
y;kenapa
y;nya
y;saya
y;ya
ya;iya
yaa;ya
yaaa ;ya
yaaa;ya
yaaaa;ya
yaaaaaa;ya
yaaah;ya
yaaampunnn;ya ampun
yaaang;yang
yaah;ya
yaahh;ya
yaahhh;ya
yaak;ya
yaakk;ya
yaakkk;ya
yaampuuuunnnn;ya ampun
yaang;yang
yach;ya
yachhh;ya
yad;yang akan datang
yaelahhh;alah
yah;ya
yahbh;ya
yahh;ya
yahhh;ya
yahhhh;ya
yak;ya
yakaliiiii;yakali
yakinn;yakin
yakk;ya
yam;ya
yanckh;yang
yank;sayang
yankkk;sayang
yaoloh;yaallah
yaolohh;ya allah
yap;iya
yap;ya
yapp;ya
yappp;ya
yapz;iya
yaudah;ya sudah
yaudh;ya sudah
yauwda;ya sudah
yawdah;ya sudah
yawlah;ya allah
yawloh;ya allah
yayang;sayang
ybs;yang bersangkutan
yee;ya
yeee;ya
yeeee;ya
yep;ya
yeuh;ya
yg;yang
ygs;sayang
yh;ya
yha;ya
yhaaa;ya
yi;yaitu
yl;yang lain
yng;yang
ynk;sayang
yo;iya
yo;ya
yoha;iya
yoiii;yoi
yoiiu;yoi
yok;yuk
yokk;yuk
yokkk;yuk
yoo;ayo
yoo;ya
yook;yuk
yoooiii;yoi
yoookkkk;yuk
yooookkk;yuk
yooow;ya
yowes;ya sudah
yq;yang
ysh;ya
yu;yuk
yuh;tuh
yuk;ayo
yukk;yuk
yukkk;yuk
yukkkk;yuk
yuks;yuk
yukss;yuk
yup;iya
yup;ya
yuppss;ya
yuu;yuk
yuuk;yuk
yuukk;yuk
yuuks;yuk
yuuu;yuk
yuuuk;yuk
yuuuuk;yuk
yuuuukkk;yuk
yuwkkk;yuk
ywdh;ya sudah
yya;ya
yyaaa;ya
z;saja
za;saja
zama;zaman
zonk;bodoh
